fragment,colony,tank,treatment,date.fragmented,date.sampled.baseline,date.mortality,date.sampled.final
A21,A,4,Shade-Food,20220928,,,
A22,A,4,Shade-Food,20220928,,,
A23,A,4,Shade-Food,20220928,,,
B20,B,4,Baseline,20220926,20221002,NA,NA
B18,B,4,Shade-Food,20220926,,,
B19,B,4,Shade-Food,20220926,,,
B21,B,4,Shade-Food,20220926,,,
B22,B,4,Shade-Food,20220926,,,
B23,B,4,Shade-Food,20220926,,,
C19,C,4,Baseline,20220928,20221002,NA,NA
C18,C,4,Shade-Food,20220928,,,
C20,C,4,Shade-Food,20220928,,,
C21,C,4,Shade-Food,20220928,,,
C22,C,4,Shade-Food,20220928,,,
C23,C,4,Shade-Food,20220928,,,
D18,D,4,Shade-Food,20220927,,,
D19,D,4,Shade-Food,20220927,,,
D20,D,4,Shade-Food,20220927,,,
D21,D,4,Shade-Food,20220927,,,
D22,D,4,Shade-Food,20220927,,,
D23,D,4,Shade-Food,20220927,,,
E20,E,4,Baseline,20220927,20221002,NA,NA
E18,E,4,Shade-Food,20220927,,,
E19,E,4,Shade-Food,20220927,,,
E21,E,4,Shade-Food,20220927,,,
E22,E,4,Shade-Food,20220927,,,
E23,E,4,Shade-Food,20220927,,,
F22,F,4,Baseline,20220928,20221002,NA,NA
F19,F,4,Shade-Food,20220928,,,
F20,F,4,Shade-Food,20220928,,,
F21,F,4,Shade-Food,20220928,,,
F23,F,4,Shade-Food,20220928,,,
F24,F,4,Shade-Food,20220928,,,
A24,A,5,Light-Food,20220928,,,
A25,A,5,Light-Food,20220928,,,
A26,A,5,Light-Food,20220928,,,
A27,A,5,Light-Food,20220928,,,
A28,A,5,Light-Food,20220928,,,
A29,A,5,Light-Food,20220928,,,
B25,B,5,Baseline,20220926,20221002,NA,NA
B24,B,5,Light-Food,20220926,,,
B26,B,5,Light-Food,20220926,,,
B27,B,5,Light-Food,20220926,,,
B28,B,5,Light-Food,20220926,,,
B29,B,5,Light-Food,20220926,,,
C26,C,5,Baseline,20220928,20221002,NA,NA
C24,C,5,Light-Food,20220928,,,
C25,C,5,Light-Food,20220928,,,
C27,C,5,Light-Food,20220928,,,
C28,C,5,Light-Food,20220928,,,
C29,C,5,Light-Food,20220928,,,
D26,D,5,Baseline,20220927,20221002,NA,NA
D24,D,5,Light-Food,20220927,,,
D25,D,5,Light-Food,20220927,,,
D27,D,5,Light-Food,20220927,,,
D28,D,5,Light-Food,20220927,,,
D29,D,5,Light-Food,20220927,,,
E24,E,5,Light-Food,20220927,,,
E25,E,5,Light-Food,20220927,,,
E26,E,5,Light-Food,20220927,,,
E27,E,5,Light-Food,20220927,,,
E28,E,5,Light-Food,20220927,,,
E29,E,5,Light-Food,20220927,,,
F25,F,5,Light-Food,20220928,,,
F26,F,5,Light-Food,20220928,NA,20221125,NA
F27,F,5,Light-Food,20220928,,,
F28,F,5,Light-Food,20220928,,,
F29,F,5,Light-Food,20220928,,,
A31,A,6,Baseline,20220928,20221002,NA,NA
A30,A,6,Light-NoFood,20220928,,,
A32,A,6,Light-NoFood,20220928,,,
A33,A,6,Light-NoFood,20220928,,,
A34,A,6,Light-NoFood,20220928,,,
A35,A,6,Light-NoFood,20220928,,,
B34,B,6,Baseline,20220926,20221002,NA,NA
B30,B,6,Light-NoFood,20220926,,,
B31,B,6,Light-NoFood,20220926,,,
B32,B,6,Light-NoFood,20220926,,,
B33,B,6,Light-NoFood,20220926,,,
B35,B,6,Light-NoFood,20220926,,,
C30,C,6,Baseline,20220928,20221002,NA,NA
C31,C,6,Light-NoFood,20220928,NA,20221102,NA
C32,C,6,Light-NoFood,20220928,,,
C33,C,6,Light-NoFood,20220928,,,
C34,C,6,Light-NoFood,20220928,NA,20221129,NA
C35,C,6,Light-NoFood,20220928,,,
D30,D,6,Baseline,20220927,20221002,NA,NA
D31,D,6,Light-NoFood,20220927,,,
D32,D,6,Light-NoFood,20220927,,,
D33,D,6,Light-NoFood,20220927,,,
D34,D,6,Light-NoFood,20220927,,,
D35,D,6,Light-NoFood,20220927,,,
E31,E,6,Baseline,20220927,20221002,NA,NA
E30,E,6,Light-NoFood,20220927,,,
E32,E,6,Light-NoFood,20220927,,,
E33,E,6,Light-NoFood,20220927,,,
E34,E,6,Light-NoFood,20220927,,,
E35,E,6,Light-NoFood,20220927,,,
F30,F,6,Light-NoFood,20220928,,,
F31,F,6,Light-NoFood,20220928,,,
F32,F,6,Light-NoFood,20220928,,,
F33,F,6,Light-NoFood,20220928,,,
F34,F,6,Light-NoFood,20220928,,,
F35,F,6,Light-NoFood,20220928,,,
